"runtime","title","vote_average","vote_count","Action","Adventure","Animation","Comedy","Crime","Documentary","Drama","Family","Fantasy","Foreign","History","Horror","Music","Mystery","Romance","Science.Fiction","Thriller","TV.Movie","War","Western","log_budget","log_revenue","title_length","age"
137,"Terminator 2: Judgment Day",7.7,4185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,18.4206807439524,20.0693393695397,26,9940
125,"The Apartment",8.1,483,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,14.9141228466324,17.0343863828325,13,21278
169,"Pirates of the Caribbean: At World's End",6.9,4500,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.5192930326205,20.6834849669346,40,4139
85,"High Noon",7.6,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.5007998131246,15.8949520996441,9,24280
102,"Casablanca",7.9,1422,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,13.6854018726173,16.1633079937799,10,27689
109,"Terminator 3: Rise of the Machines",5.9,2143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,19.1138279245123,19.890856589053,34,5556
178,"Meet Joe Black",6.9,1147,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,18.3153202282945,18.7779362193501,14,7249
122,"Ocean's Thirteen",6.5,1999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18.2581618144546,19.5563081871113,16,4120
102,"Swimming Pool",6.4,153,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15.8696342916598,16.9264145941001,13,5601
101,"Bruce Almighty",6.4,3012,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.1975371926382,19.998778308234,14,5596
104,"Catwoman",4.2,808,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4206807439524,18.2234775508603,8,5170
120,"True Romance",7.5,749,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,16.3412392022725,16.3236087756393,12,9139
118,"Insomnia",6.8,1148,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,17.6441519544534,18.5492043811741,8,5960
92,"Mambo Italiano",5.6,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15.2884178417014,14.9246673903451,14,5582
138,"Mystic River",7.6,1422,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,17.0343863828325,18.8706220896942,12,5459
105,"Snakes on a Plane",5.1,497,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,17.3120181194308,17.942999944505,17,4425
114,"Brother",6.8,107,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,16.3004172077523,16.5400900610177,7,6582
127,"Jurassic Park",7.6,4856,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17.9586452843558,20.6399929177526,13,9229
129,"The Lost World: Jurassic Park",6.2,2487,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18.1059699991127,19.2495579408913,29,7787
92,"Jurassic Park III",5.7,2077,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,18.3481100511175,19.7257130119587,17,6270
188,"Magnolia",7.5,825,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4264284706085,17.6960801092309,8,6858
175,"Once Upon a Time in the West",8.1,1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.4249484703984,15.4872672797976,28,18167
121,"Good bye, Lenin!",7.4,586,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,15.3841264758781,18.189818479872,16,5699
159,"Eyes Wide Shut",7.1,1234,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,17.9898978278599,18.9036697471103,14,7005
207,"Seven Samurai",8.2,878,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5086577385242,12.5129726155335,13,23520
117,"Alien",7.9,4470,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,16.2134058307626,18.4688211828103,5,14360
109,"The Devil Wears Prada",7,3088,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,17.3708586194537,19.6040969844834,21,4462
126,"Batman Returns",6.6,1673,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.1975371926382,19.4503001611335,14,9586
91,"A Nightmare on Elm Street",7.2,1180,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14.4032972228664,17.0543659748616,25,12360
133,"Rain Man",7.6,1709,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0343863828325,19.8384737721316,8,10872
149,"Das Boot",7.9,613,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,16.4545678875795,18.2581618144546,8,13515
129,"Inside Man",7.3,1630,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,17.6221730477346,19.0324890863912,10,4561
96,"12 Angry Men",8.2,2078,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7656884334656,13.8155105579643,12,22456
99,"A Fistful of Dollars",7.6,883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.2060726455302,16.4896592073908,20,19728
121,"Chocolat",6.8,951,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,17.0343863828325,18.8426774031895,8,6486
136,"Kill Bill: Vol. 2",7.6,3948,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17.2167079396264,18.8404396144312,17,5267
101,"AVP: Alien vs. Predator",5.5,1217,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18.0640058000136,18.9582487590518,23,5149
114,"Capote",6.8,384,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7614207070196,17.7090605837229,6,4735
99,"Driving Miss Daisy",7,350,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8304135785065,18.7977003956861,18,10505
83,"Snow White and the Seven Dwarfs",6.9,1914,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,14.2132277281705,19.0354635235272,31,29491
162,"The English Patient",7,542,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,17.1113474239686,19.262146308088,19,7977
143,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,19.0084674088545,20.4339917739499,62,4667
121,"Batman Forever",5.2,1498,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.4206807439524,19.6341953125112,14,8510
125,"Batman & Robin",4.2,1418,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.6438242952666,19.2886511136828,14,7759
119,"The Life Aquatic with Steve Zissou",7.1,775,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7275335633924,17.3653693811138,34,5029
